Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temp,Wind Speed
90,US,1605693589,71,33.85,-118.05,57.2,4.18
100,CK,1605693654,94,-21.21,-159.78,75.2,13.87
100,CD,1605693654,79,-4.98,12.93,78.66,2.51
94,CL,1605693654,89,-37.62,-73.65,50.58,3.78
100,RU,1605693654,99,73.51,80.55,31.39,31.07
20,PT,1605693655,54,37.72,-25.43,57.2,11.41
90,RE,1605693387,61,-21.34,55.48,78.8,17.22
100,BR,1605693655,95,-9.88,-56.09,71.76,1.83
100,RU,1605693655,85,45.37,44.22,37.6,21.94
90,DE,1605693656,100,54.91,8.3,52.0,20.8
100,RU,1605693656,90,62.67,131.17,-9.67,2.01
100,BR,1605693656,88,-13.44,-40.43,68.11,5.06
100,RU,1605693656,88,51.5,156.52,31.37,30.09
0,CN,1605693656,88,25.49,119.2,71.6,4.47
90,CA,1605693647,92,63.75,-68.51,30.2,3.36
0,SO,1605693657,23,9.41,45.06,83.08,18.59
34,ZA,1605693657,76,-34.42,19.23,66.99,3.0
0,FR,1605693658,93,46.42,3.91,54.0,3.36
20,KZ,1605693658,77,49.69,83.29,3.2,6.71
100,BO,1605693659,94,-22.04,-63.68,58.41,9.64
20,SJ,1605693659,67,78.22,15.64,19.4,19.46
100,UA,1605693659,85,48.21,30.02,34.66,4.43
1,US,1605693659,68,37.7,-77.61,30.99,5.48
66,VE,1605693659,65,9.32,-70.6,70.77,3.27
93,AU,1605693509,38,-34.73,135.87,72.64,11.36
20,MY,1605693617,79,5.41,100.34,87.01,9.17
100,PE,1605693660,86,-10.07,-78.15,63.14,6.8
100,GL,1605693660,91,72.79,-56.15,28.71,9.24
90,SO,1605693660,59,9.49,50.81,81.32,24.14
4,AU,1605693656,12,-23.7,133.88,95.0,6.93
90,CL,1605693661,100,-36.62,-71.83,50.0,2.24
40,PT,1605693661,73,32.67,-17.1,71.6,2.24
90,SI,1605693662,93,46.52,14.85,51.01,3.36
73,PG,1605693662,69,-2.02,147.27,82.76,4.36
100,ZA,1605693662,91,-34.05,23.37,61.12,5.84
26,VN,1605693662,88,13.77,109.23,78.17,7.63
0,IN,1605693663,28,30.69,78.49,61.47,6.53
13,KI,1605693664,73,3.07,172.79,81.84,18.19
1,US,1605693518,69,20.89,-156.47,77.0,12.75
75,NZ,1605693425,87,-45.87,170.5,50.0,3.0
75,NO,1605693664,93,69.31,16.12,43.0,21.92
43,NC,1605693665,79,-20.93,165.33,74.91,14.2
75,JP,1605693665,94,24.34,124.16,78.8,6.93
96,BR,1605693665,85,-19.68,-44.89,72.45,2.08
100,RU,1605693665,93,60.38,92.63,10.54,8.93
30,GH,1605693665,52,7.39,-1.36,89.42,2.37
0,FI,1605693665,86,65.85,24.15,41.0,10.29
75,BB,1605693666,83,13.22,-59.52,77.0,20.8
39,IN,1605693666,62,27.92,96.17,71.64,1.57
83,EC,1605693666,91,-0.74,-90.35,69.01,4.0
0,IS,1605693666,57,63.84,-22.43,21.2,2.24
0,AU,1605693666,59,-42.78,147.06,64.4,4.7
90,US,1605693667,93,36.62,-121.92,57.99,5.82
1,US,1605693667,72,59.64,-151.55,28.0,3.36
1,US,1605693667,68,64.86,-147.8,-2.0,1.81
100,AU,1605693667,9,-32.5,137.77,91.4,8.05
97,RU,1605693668,94,57.13,103.91,10.49,4.12
100,RU,1605693668,92,69.49,88.4,19.4,15.66
75,MU,1605693668,61,-20.34,57.76,81.0,12.75
