,Cloudiness,Humidity,Latitude,Longitude,Temperature,Windspeed,Country,Date
102,75,30,37.1,-113.58,57.0,6.93,US,1605698998
103,75,69,-20.34,57.76,78.01,11.41,MU,1605699287
104,100,84,17.67,-96.13,68.52,3.31,MX,1605699287
105,90,93,44.82,26.48,50.0,17.22,RO,1605699287
106,90,92,39.45,-84.57,32.0,1.19,US,1605699183
107,15,15,18.44,1.41,86.13,15.23,ML,1605699288
108,3,75,-22.67,167.48,72.66,15.66,NC,1605699288
109,0,68,-33.01,17.94,75.2,17.22,ZA,1605699288
110,77,78,-0.6,73.08,82.56,14.32,MV,1605699288
111,40,55,41.28,-70.1,35.6,20.8,US,1605699278
112,60,82,42.03,-8.16,64.0,7.0,PT,1605699288
113,0,71,-54.8,-68.3,50.0,4.7,AR,1605699084
114,100,92,53.09,21.58,52.0,1.01,PL,1605699289
115,15,84,-35.62,174.5,55.99,5.01,NZ,1605699289
116,30,89,69.38,178.42,21.83,1.7,RU,1605699289
117,90,79,52.59,34.28,24.8,13.42,RU,1605699289
118,90,83,-9.44,147.18,82.4,4.7,PG,1605699289
119,6,77,-34.58,150.86,64.99,10.45,AU,1605699289
120,100,91,60.9,131.96,-1.01,3.69,RU,1605699290
121,98,82,-2.65,10.0,78.87,9.91,GA,1605699290
122,75,39,69.22,-51.1,30.2,19.46,GL,1605699290
123,90,87,45.52,-122.68,48.2,12.75,US,1605698829
124,0,72,66.04,-17.34,17.6,3.36,IS,1605699290
125,0,25,18.09,-15.98,86.0,18.34,MR,1605699290
126,90,93,44.6,25.85,50.0,17.22,RO,1605699290
127,96,93,53.96,105.88,16.79,5.48,RU,1605699291
128,20,74,1.05,101.28,86.0,2.89,ID,1605699291
129,18,58,-14.27,50.17,80.35,14.83,MG,1605699291
130,90,83,67.8,130.41,-2.25,3.69,RU,1605699291
131,47,24,10.61,12.19,86.83,6.98,NG,1605699291
132,0,46,37.47,-4.44,73.99,1.01,ES,1605699291
133,20,62,78.22,15.64,19.4,16.11,SJ,1605699292
134,0,82,61.68,64.48,20.12,7.47,RU,1605699292
135,33,65,-33.7,-53.46,65.7,5.44,UY,1605699292
136,20,69,16.89,-24.98,80.6,23.04,CV,1605699292
137,40,94,22.08,-159.32,75.2,11.41,US,1605699292
138,44,74,-35.33,-72.42,58.15,4.43,CL,1605699292
139,75,80,70.95,27.35,41.0,21.92,NO,1605699292
140,40,83,-33.02,27.91,71.6,16.11,ZA,1605699293
141,3,60,-20.01,57.66,79.0,13.0,MU,1605698995
142,0,76,42.56,-2.36,53.6,2.24,ES,1605699293
143,90,93,47.6,-53.26,39.2,6.93,CA,1605699293
144,100,87,-40.85,172.8,54.0,1.01,NZ,1605699293
145,90,84,55.74,-97.86,8.6,5.82,CA,1605699293
146,90,71,-8.27,-72.74,78.67,2.44,BR,1605699293
147,100,82,-2.67,141.3,81.01,6.49,PG,1605699294
148,97,91,55.21,34.3,27.1,15.3,RU,1605699294
149,0,57,20.18,94.88,76.28,1.97,MM,1605699294
150,2,7,38.97,-0.18,68.0,4.43,ES,1605699294
151,0,64,28.24,-82.72,55.99,17.85,US,1605699084
152,45,84,31.81,121.66,75.99,1.99,CN,1605699140
153,34,13,22.68,-3.98,86.38,15.05,ML,1605699295
154,60,70,49.15,20.96,52.0,4.0,SK,1605699295
155,46,87,57.72,38.93,27.41,15.52,RU,1605699295
156,92,82,-13.88,167.55,79.81,22.28,VU,1605699296
157,0,45,-38.95,-68.06,66.2,2.24,AR,1605699296
158,75,69,-20.21,57.76,78.01,11.41,MU,1605699296
159,0,73,-28.77,114.6,69.8,13.87,AU,1605699057
160,1,50,41.37,-73.41,28.99,4.7,US,1605699296
161,76,64,-30.18,-50.21,67.12,2.82,BR,1605699296
162,90,85,60.14,-45.24,33.1,21.97,GL,1605699297
163,100,88,-34.05,23.37,61.2,7.07,ZA,1605699297
164,16,59,-15.43,49.73,78.12,9.01,MG,1605699297
165,1,47,57.79,-152.41,35.6,11.41,US,1605699297
166,75,35,60.92,-46.05,39.2,23.04,GL,1605699297
167,16,73,28.37,129.48,77.0,9.17,JP,1605699298
168,56,95,71.97,102.5,6.55,15.84,RU,1605699298
169,90,87,34.64,-120.46,53.6,8.05,US,1605699298
170,20,77,56.13,41.7,26.01,13.11,RU,1605699298
171,98,89,-6.84,-79.93,62.46,9.19,PE,1605699298
172,20,44,34.77,32.42,77.0,10.29,CY,1605699019
173,100,76,14.92,-89.9,71.17,3.96,GT,1605699299
174,92,91,63.28,118.33,2.89,10.0,RU,1605699299
175,75,86,44.65,-63.57,32.0,5.82,CA,1605699032
176,75,83,-9.67,-35.74,80.6,11.41,BR,1605699176
177,6,42,22.57,59.53,79.43,7.23,OM,1605699299
178,77,94,-35.72,150.18,64.0,5.57,AU,1605699299
179,94,88,7.88,-76.63,74.66,5.35,CO,1605699299
180,40,28,32.87,59.22,57.2,11.41,IR,1605699280
181,1,80,32.35,-85.2,44.6,6.53,US,1605699300
182,75,84,62.46,-114.35,1.99,9.17,CA,1605699300
183,90,94,-0.72,8.78,80.6,13.87,GA,1605699300
184,100,24,-25.24,130.99,89.6,17.22,AU,1605699300
185,99,85,68.31,-53.46,29.84,11.86,GL,1605699301
186,0,53,-26.65,15.16,75.2,28.86,NA,1605699301
187,0,53,63.84,-22.43,23.0,5.82,IS,1605699301
188,100,88,52.52,99.83,6.17,3.29,RU,1605699302
189,90,68,40.43,71.72,32.0,6.93,UZ,1605699302
190,1,25,6.75,11.82,89.02,4.76,CM,1605699302
191,100,78,8.08,77.57,82.6,11.86,IN,1605699302
192,25,60,17.96,-102.2,76.46,4.56,MX,1605699274
193,75,93,70.37,31.11,39.2,31.09,NO,1605699302
194,40,54,38.52,-28.7,59.0,6.93,PT,1605699303
